School Where Space is Rented,"Infant 
(0-23M)","Pre-School 
2-6 yrs",School-Aged 5 yrs+,"School-Aged 
7 yrs +","Special Needs 
12 yrs +",BLAST
Archwood School,,,,,,32
Darwin School,,10,,45,,
Dr. D. W. Penner,,15,,45,,
École Guyot,,18,,57,,
École Henri Bergeron,,,30,,,
École Howden,,,35,,,
École Julie-Riel,0,0,60,0,0,0
École Marie-Anne Gaboury,0,23,0,41,0,40
École Mazina-Giizhik,20,54,0,30,0,90
École Provencher,0,0,43,0,0,0
École Provencher,4,84,0,85,0,0
École Provencher,0,19,0,0,0,0
École St. Germain,0,32,0,33,0,32
École Van Belleghem,0,0,0,0,0,32
École Varennes,0,0,37,0,0,0
Frontenac School,0,20,0,0,0,0
Frontenac School,0,10,0,30,0,0
General Vanier School,0,10,0,35,0,0
General Vanier School,0,20,0,0,0,0
Glenlawn Collegiate,0,0,0,0,6,0
Glenwood,0,15,0,50,0,0
H.S. Paul School,8,40,0,85,0,0
Hastings,0,18,0,32,0,0
Highbury School,16,58,0,60,0,0
ILCS,4,36,40,15,0,0
Lavallee,0,18,0,22,0,0
Marion School,4,16,0,0,0,32
Minnetonka School,0,36,0,19,0,0
Niakwa Place School,0,20,0,0,0,32
Nordale School,0,0,27,0,0,0
Rene Deleurme Centre,4,96,0,0,0,0
Sage Creek School,20,64,0,60,0,56
Samuel Burland School,0,42,45,23,0,0
Shamrock School,0,30,0,45,0,0
St. George School,0,0,30,0,0,0
Van Belleghem,0,19,0,0,0,0
Victor Mager School,0,8,0,29,0,0
Victor Wyatt School,0,18,0,44,0,0
Windsor Park Collegiate,0,0,0,0,8,0
Windsor School,0,10,35,0,0,0
