School,School Website URL,Google Maps School Pin URL,Contact Page URL,Phone URL
Archwood School,https://www.lrsd.net/archwood,https://www.google.com/maps/search/?api=1&query=800%20Archibald%20St.%2C%20Winnipeg%2C%20MB%2C%20Canada,https://www.lrsd.net/archwood/contact,tel:+12042337983
Collège Béliveau,https://www.lrsd.net/cb,https://www.google.com/maps/search/?api=1&query=296%20Speers%20Rd.%2C%20Winnipeg%2C%20MB%2C%20Canada,https://www.lrsd.net/cb/contact,tel:+12042553205
Collège Jeanne-Sauvé,https://www.lrsd.net/cjs,https://www.google.com/maps/search/?api=1&query=1128%20Dakota%20St.%2C%20Winnipeg%2C%20MB%2C%20Canada,https://www.lrsd.net/cjs/contact,tel:+12042570124
Dakota Collegiate,https://www.lrsd.net/dakota,https://www.google.com/maps/search/?api=1&query=661%20Dakota%20St.%2C%20Winnipeg%2C%20MB%2C%20Canada,https://www.lrsd.net/dakota/contact,tel:+12042564366
Darwin School,https://www.lrsd.net/darwin,https://www.google.com/maps/search/?api=1&query=175%20Darwin%20St.%2C%20Winnipeg%2C%20MB%2C%20Canada,https://www.lrsd.net/darwin/contact,tel:+12042572904
Dr. D.W. Penner School,https://www.lrsd.net/penner,https://www.google.com/maps/search/?api=1&query=121%20Hazelwood%20Cres.%2C%20Winnipeg%2C%20MB%2C%20Canada,https://www.lrsd.net/penner/contact,tel:+12042561135
Frontenac School,https://www.lrsd.net/frontenac,https://www.google.com/maps/search/?api=1&query=866%20Autumnwood%20Dr.%2C%20Winnipeg%2C%20MB%2C%20Canada,https://www.lrsd.net/frontenac/contact,tel:+12042570609
General Vanier School,https://www.lrsd.net/vanier,https://www.google.com/maps/search/?api=1&query=18%20Lomond%20Blvd.%2C%20Winnipeg%2C%20MB%2C%20Canada,https://www.lrsd.net/vanier/contact,tel:+12042551400
Glenlawn Collegiate,https://www.lrsd.net/glenlawn,https://www.google.com/maps/search/?api=1&query=770%20St.%20Mary%27s%20Rd.%2C%20Winnipeg%2C%20MB%2C%20Canada,https://www.lrsd.net/glenlawn/contact,tel:+12042333986
Glenwood School,https://www.lrsd.net/glenwood,https://www.google.com/maps/search/?api=1&query=51%20Blenheim%20Ave.%2C%20Winnipeg%2C%20MB%2C%20Canada,https://www.lrsd.net/glenwood/contact,tel:+12042333619
H.S. Paul School,https://www.lrsd.net/paul,https://www.google.com/maps/search/?api=1&query=160%20Southglen%20Blvd.%2C%20Winnipeg%2C%20MB%2C%20Canada,https://www.lrsd.net/paul/contact,tel:+12042547477
Hastings School,https://www.lrsd.net/hastings,https://www.google.com/maps/search/?api=1&query=50%20Hastings%20Blvd.%2C%20Winnipeg%2C%20MB%2C%20Canada,https://www.lrsd.net/hastings/contact,tel:+12042531371
Highbury School,https://www.lrsd.net/highbury,https://www.google.com/maps/search/?api=1&query=99%20Highbury%20Rd.%2C%20Winnipeg%2C%20MB%2C%20Canada,https://www.lrsd.net/highbury/contact,tel:+12042545078
Island Lakes Community School,https://www.lrsd.net/islandlakes,https://www.google.com/maps/search/?api=1&query=445%20Island%20Shore%20Blvd.%2C%20Winnipeg%2C%20MB%2C%20Canada,https://www.lrsd.net/islandlakes/contact,tel:+12042546247
J.H. Bruns Collegiate,https://www.lrsd.net/jhbruns,https://www.google.com/maps/search/?api=1&query=250%20Lakewood%20Blvd.%2C%20Winnipeg%2C%20MB%2C%20Canada,https://www.lrsd.net/jhbruns/contact,tel:+12042572928
Lavallee School,https://www.lrsd.net/lavallee,https://www.google.com/maps/search/?api=1&query=505%20St.%20Anne%27s%20Rd.%2C%20Winnipeg%2C%20MB%2C%20Canada,https://www.lrsd.net/lavallee/contact,tel:+12042571388
Louis Riel Arts & Technology Centre,https://www.lrsd.net/lratc,https://www.google.com/maps/search/?api=1&query=5%20deBourmont%20Ave.%2C%20Winnipeg%2C%20MB%2C%20Canada,https://www.lrsd.net/lratc/contact,tel:+12042378951
Marion School,https://www.lrsd.net/marion,https://www.google.com/maps/search/?api=1&query=619%20Des%20Meurons%20St.%2C%20Winnipeg%2C%20MB%2C%20Canada,https://www.lrsd.net/marion/contact,tel:+12042332893
Minnetonka School,https://www.lrsd.net/minnetonka,https://www.google.com/maps/search/?api=1&query=200%20Minnetonka%20St.%2C%20Winnipeg%2C%20MB%2C%20Canada,https://www.lrsd.net/minnetonka/contact,tel:+12042578114
Nelson McIntyre Collegiate,https://www.lrsd.net/nmc,https://www.google.com/maps/search/?api=1&query=188%20St.%20Mary%27s%20Rd.%2C%20Winnipeg%2C%20MB%2C%20Canada,https://www.lrsd.net/nmc/contact,tel:+12042370219
Niakwa Place School,https://www.lrsd.net/niakwaplace,https://www.google.com/maps/search/?api=1&query=200%20Pebblebeach%20Rd.%2C%20Winnipeg%2C%20MB%2C%20Canada,https://www.lrsd.net/niakwaplace/contact,tel:+12042570640
Nordale School,https://www.lrsd.net/nordale,https://www.google.com/maps/search/?api=1&query=99%20Birchdale%20Ave.%2C%20Winnipeg%2C%20MB%2C%20Canada,https://www.lrsd.net/nordale/contact,tel:+12042370202
Sage Creek School,https://www.lrsd.net/sagecreek,https://www.google.com/maps/search/?api=1&query=315%20Sage%20Creek%20Blvd.%2C%20Winnipeg%2C%20MB%2C%20Canada,https://www.lrsd.net/sagecreek/contact,tel:+12042538199
Samuel Burland School,https://www.lrsd.net/burland,https://www.google.com/maps/search/?api=1&query=192%20Burland%20Ave.%2C%20Winnipeg%2C%20MB%2C%20Canada,https://www.lrsd.net/burland/contact,tel:+12042540124
Shamrock School,https://www.lrsd.net/shamrock,https://www.google.com/maps/search/?api=1&query=831%20Beaverhill%20Blvd.%2C%20Winnipeg%2C%20MB%2C%20Canada,https://www.lrsd.net/shamrock/contact,tel:+12042570637
St. George School,https://www.lrsd.net/stgeorge,https://www.google.com/maps/search/?api=1&query=151%20St.%20George%20Rd.%2C%20Winnipeg%2C%20MB%2C%20Canada,https://www.lrsd.net/stgeorge/contact,tel:+12042532646
Victor H.L. Wyatt School,https://www.lrsd.net/wyatt,https://www.google.com/maps/search/?api=1&query=485%20Meadowood%20Dr.%2C%20Winnipeg%2C%20MB%2C%20Canada,https://www.lrsd.net/wyatt/contact,tel:+12042557880
Victor Mager School,https://www.lrsd.net/mager,https://www.google.com/maps/search/?api=1&query=81%20Beliveau%20Rd.%2C%20Winnipeg%2C%20MB%2C%20Canada,https://www.lrsd.net/mager/contact,tel:+12042539873
Windsor Park Collegiate,https://www.lrsd.net/windsorpark,https://www.google.com/maps/search/?api=1&query=1015%20Cottonwood%20Rd.%2C%20Winnipeg%2C%20MB%2C%20Canada,https://www.lrsd.net/windsorpark/contact,tel:+12042567316
Windsor School,https://www.lrsd.net/windsor,https://www.google.com/maps/search/?api=1&query=80%20Cunnington%20Ave.%2C%20Winnipeg%2C%20MB%2C%20Canada,https://www.lrsd.net/windsor/contact,tel:+12042374057
École George-McDowell,https://www.lrsd.net/georgemcdowell,https://www.google.com/maps/search/?api=1&query=366%20Paddington%20Rd.%2C%20Winnipeg%2C%20MB%2C%20Canada,https://www.lrsd.net/georgemcdowell/contact,tel:+12042531492
École Guyot,https://www.lrsd.net/guyot,https://www.google.com/maps/search/?api=1&query=400%20Willowlake%20Cres.%2C%20Winnipeg%2C%20MB%2C%20Canada,https://www.lrsd.net/guyot/contact,tel:+12042572540
École Henri-Bergeron,https://www.lrsd.net/henribergeron,https://www.google.com/maps/search/?api=1&query=363%20Enfield%20Cres.%2C%20Winnipeg%2C%20MB%2C%20Canada,https://www.lrsd.net/henribergeron/contact,tel:+12042337079
École Howden,https://www.lrsd.net/howden,https://www.google.com/maps/search/?api=1&query=150%20Howden%20Rd.%2C%20Winnipeg%2C%20MB%2C%20Canada,https://www.lrsd.net/howden/contact,tel:+12042570656
École Julie-Riel,https://www.lrsd.net/julieriel,https://www.google.com/maps/search/?api=1&query=316%20Ashworth%20St.%2C%20Winnipeg%2C%20MB%2C%20Canada,https://www.lrsd.net/julieriel/contact,tel:+12042532363
École Marie-Anne-Gaboury,https://www.lrsd.net/gaboury,https://www.google.com/maps/search/?api=1&query=95%20Pulberry%20St.%2C%20Winnipeg%2C%20MB%2C%20Canada,https://www.lrsd.net/gaboury/contact,tel:+12042539704
École Mazina-Giizhik,https://www.lrsd.net/mazinagiizhik,https://www.google.com/maps/search/?api=1&query=355%20Des%20Hivernants%20Blvd.%2C%20Winnipeg%2C%20MB%2C%20Canada,https://www.lrsd.net/mazinagiizhik/contact,
École Provencher,https://www.lrsd.net/provencher,https://www.google.com/maps/search/?api=1&query=320%20ave%20de%20la%20Cathedrale%2C%20Winnipeg%2C%20MB%2C%20Canada,https://www.lrsd.net/provencher/contact,tel:+12042330222
École St. Germain,https://www.lrsd.net/stgermain,https://www.google.com/maps/search/?api=1&query=77%20John%20Forsyth%20Rd.%2C%20Winnipeg%2C%20MB%2C%20Canada,https://www.lrsd.net/stgermain/contact,tel:+12042540120
École Van Belleghem,https://www.lrsd.net/vanbelleghem,https://www.google.com/maps/search/?api=1&query=10%20Vermillion%20Rd.%2C%20Winnipeg%2C%20MB%2C%20Canada,https://www.lrsd.net/vanbelleghem/contact,tel:+12042551134
École Varennes,https://www.lrsd.net/varennes,https://www.google.com/maps/search/?api=1&query=22%20Varennes%20Ave.%2C%20Winnipeg%2C%20MB%2C%20Canada,https://www.lrsd.net/varennes/contact,tel:+12042531375
