SCHOOL NAME,,2022,2023,2024,2025
Archwood School,,229,195,187,165
Collège Béliveau,,651,649,681,673
Collège Jeanne-Sauvé,,687,750,845,848
Dakota Collegiate,,1342,1400,1491,1522
Darwin School,,303,292,280,229
Dr. D. W. Penner School,,198,213,231,254
École George-Mcdowell,,374,391,345,365
École Guyot,,425,434,430,425
École Henri-Bergeron,,212,230,222,310
École Howden,,368,398,421,307
École Julie-Riel,,353,357,364,349
École Marie-Anne-Gaboury,,401,416,428,420
École Mazina-Giizhik,,,,,816
École Provencher,,285,293,290,292
École Saint-Germain,,471,427,398,379
École Van Belleghem,,432,447,450,319
École Varennes,,358,382,423,353
Frontenac School,,426,406,412,403
General Vanier School,,251,261,230,220
Glenlawn Collegiate,,911,1059,1081,1007
Glenwood School,,228,256,266,288
H. S. Paul School,,413,398,383,368
Hastings School,,216,235,239,207
Highbury School,,407,438,452,411
Island Lakes Community School,,585,687,760,710
J. H. Bruns Collegiate,,779,780,865,985
Lavallee School,,169,168,164,176
Louis Riel S.D. Arts And Technology Ctr.,,147,148,116,149
Marion School,,144,218,266,259
Minnetonka School,,138,171,172,172
Nelson Mcintyre Collegiate,,313,358,388,402
Niakwa Place School,,250,268,254,213
Nordale School,,172,170,181,179
École Sage Creek School,,747,787,772,651
Samuel Burland School,,444,448,420,399
Shamrock School,,588,610,639,344
St. George School,,377,439,352,350
Victor H.L. Wyatt School,,284,310,326,286
Victor Mager School,,375,404,407,380
Windsor Park Collegiate,,702,726,702,603
Windsor School,,138,140,238,236
,,,,,
