SCHOOL NAME,Migration,
Archwood School,-1.3,
Collège Béliveau,2.4,
Collège Jeanne-Sauvé,0.3,
Dakota Collegiate,0.2,
Darwin School,0.5,
Dr. D. W. Penner School,0.3,
École George-Mcdowell,1.0,
École Guyot,1.7,
École Henri-Bergeron,-1.0,
École Howden,-0.2,
École Julie-Riel,0.9,
École Marie-Anne-Gaboury,0.9,
École Mazina-Giizhik,10.5,
École Provencher,-0.9,
École Saint-Germain,1.1,
École Van Belleghem,-1.4,
École Varennes,-1.1,
Frontenac School,-1.0,
General Vanier School,1.5,
Glenlawn Collegiate,0.5,
Glenwood School,0.4,
H. S. Paul School,-0.1,
Hastings School,0.3,
Highbury School,1.0,
Island Lakes Community School,8.7,
J. H. Bruns Collegiate,6.0,
Lavallee School,0.9,
Louis Riel Arts And Technology Centre,N/A,
Marion School,-1.2,
Minnetonka School,2.8,
Nelson Mcintyre Collegiate,-0.9,
Niakwa Place School,2.3,
Nordale School,-0.2,
Sage Creek School,7.1,
Samuel Burland School,1.2,
Shamrock School,2.2,
St. George School,-1.2,
Victor H.L. Wyatt School,2.4,
Victor Mager School,-5.0,
Windsor Park Collegiate,-0.5,
Windsor School,0.0,
