SCHOOL NAME,2026,2027,2028,2029,2030
Archwood School,151,144,142,136,137
Collège Béliveau,724,795,868,947,1042
Collège Jeanne-Sauvé,903,914,901,920,937
Dakota Collegiate,"1,542","1,563","1,609","1,604","1,632"
Darwin School,211,207,196,200,193
Dr. D. W. Penner School,260,263,252,248,247
École George-Mcdowell,341,381,389,388,315
École Guyot,433,421,397,391,375
École Henri-Bergeron,327,318,345,365,371
École Howden,316,309,296,287,284
École Julie-Riel,333,315,309,307,330
École Marie-Anne-Gaboury,419,428,420,414,412
École Mazina-Giizhik,912,945,962,979,937
École Provencher,265,292,309,338,372
École Saint-Germain,366,335,314,307,327
École Van Belleghem,347,396,428,469,492
École Varennes,427,437,439,439,433
Frontenac School,403,419,402,377,381
General Vanier School,221,219,211,200,190
Glenlawn Collegiate,1078,1042,"1,053","1,069","1,068"
Glenwood School,286,291,295,290,286
H. S. Paul School,361,367,381,418,437
Hastings School,213,210,203,196,189
Highbury School,400,404,415,438,449
Island Lakes Community School,714,687,660,653,630
J. H. Bruns Collegiate,1057,1130,1198,1204,1227
Lavallee School,179,184,180,187,191
Louis Riel Arts And Technology Centre,165,163,164,166,165
Marion School,259,309,365,439,508
Minnetonka School,167,165,167,163,164
Nelson Mcintyre Collegiate,411,410,443,450,486
Niakwa Place School,220,213,196,196,192
Nordale School,184,194,186,190,183
Sage Creek School,642,650,643,637,603
Samuel Burland School,386,378,369,359,341
Shamrock School,343,377,430,456,510
St. George School,369,377,369,371,354
Victor H.L. Wyatt School,302,298,290,293,268
Victor Mager School,388,371,349,327,309
Windsor Park Collegiate,575,481,499,527,525
Windsor School,239,244,248,255,247
