school_id,schoolName,schoolType,address,phone,built,age,size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
archwood,Archwood School,School,800 Archibald St.,(204) 233-7983,1952,72 years,28513 ftÂ²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beliveau,CollÃ¨ge BÃ©liveau,CollÃ¨ge,296 Speers Rd.,(204) 255-3205,1956,68 years,86387 ftÂ²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cjs,CollÃ¨ge Jeanne-SauvÃ©,CollÃ¨ge,1128 Dakota St.,(204) 257-0124,1989,35 years,91566 ftÂ²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dakota,Dakota Collegiate,School,661 Dakota St.,(204) 256-4366,1962,62 years,127040 ftÂ²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
darwin,Darwin School,School,175 Darwin St.,(204) 257-2904,1973,51 years,54149 ftÂ²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drdwpenner,Dr. D.W. Penner School,School,121 Hazelwood Cres.,(204) 256-1135,1975,49 years,39542 ftÂ²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecolegeorgemcdowell,Ã‰cole George-McDowell,Ã‰cole,366 Paddington Rd.,(204) 253-1492,1983,41 years,46289 ftÂ²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecoleguyot,Ã‰cole Guyot,Ã‰cole,400 Willowlake Cres.,(204) 257-2540,1974,50 years,43253 ftÂ²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecolehenribergeron,Ã‰cole Henri-Bergeron,Ã‰cole,363 Enfield Cres.,(204) 233-7079,1962,62 years,40350 ftÂ²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecolehowden,Ã‰cole Howden,Ã‰cole,150 Howden Rd.,(204) 257-0656,1964,60 years,34087 ftÂ²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecolejulieriel,Ã‰cole Julie-Riel,Ã‰cole,316 Ashworth St.,(204) 253-2363,1995,29 years,45249 ftÂ²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecolemarieannegaboury,Ã‰cole Marie-Anne-Gaboury,Ã‰cole,95 Pulberry St.,(204) 253-9704,1957,67 years,53300 ftÂ²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecoleprovencher,Ã‰cole Provencher,Ã‰cole,320 ave de la Cathedrale,(204) 233-0222,1924,100 years,71776 ftÂ²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecolesagecreekbonavista,Ã‰cole Sage Creek Bonavista,Ã‰cole,355 Des Hivernants Blvd.,Board Office,2025,0 years,103548 ftÂ²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
