school_id,schoolName,schoolType,headerImage,address,phone,familyOfSchools,schoolLevel,grades,program,capacity,current,projection_2026_27,projection_2027_28,projection_2028_29,projection_2029_30,history_label_1,history_value_1,history_label_2,history_value_2,history_label_3,history_value_3,history_label_4,history_value_4,built,age,size,modular,air_conditioning,heating,led_lighting,catchment_migration,catchment_description,parking_spots,bus_loop,girls_washrooms,boys_washrooms,gender_neutral_washrooms,universal_washroom,elevator,accessible_parking_stalls,accessible_entrance,automatic_entrance_door_operators,childcare_infant,childcare_preschool,childcare_school_age,meta_user,meta_updated,additions,playground,provincial_buildingMove,provincial_note,provincial_requested,provincial_inProgress,provincial_completed,local_requested,local_inProgress,local_completed
archwood,Archwood School,School,public/archwood.jpg,800 Archibald St.,(204) 233-7983,NELSON MCINTYRE FOS,Elementary School,K-8,English Program,210,162,186,189,195,193,2021_22,199,2022_23,229,2023_24,195,2024_25,184,1952,72 years,28513 ft²,0,"Main office, gym",Natural gas,Gym,-0.80%,Net annual movement in and out of catchment (5-yr. avg.),Not specified,NO,3,3,1,YES,n/a,1,YES,YES,0,0,24,CommsLRSD,10/16/2025 17:22,"1954|5,104 ft²||1967|2,829 ft²||1971|5,898 ft²||1975|352 ft²",Basketball Court|Basketball Action Play|Steel Play structure|Wooden Play structure|Climbing dome|Shade structure|Soccer nets|Baseball Diamond,,,Universal washroom to meet current accessibility standards*|Remaining Burnham boiler replacement|Roof replacement (Partial),None,None,Main office renovation|Air conditioning installation|DDC system|Office renovation completion|Flooring and hallway wall refinishing|Classrooms renovation|Library flooring|Music room renovation|Room 10 renovation,Fence installation,Community kitchen electrical upgrades|Kitchen island addition|Cupboards|Gym girls change room modification|Bottle filling station addition |Boys change room renewal|Replace Public Address System|Repair of cracks in Terrazo floor|Installed Portable Air Conditioning units
beliveau,Collège Béliveau,Collège,public/beliveau.jpg,296 Speers Rd.,(204) 255-3205,BÉLIVEAU FOS,High School,12-Jul,French Immersion,650,672,705,760,824,866,2021_22,649,2022_23,651,2023_24,649,2024_25,680,1956,68 years,86387 ft²,0,Full building,Natural gas,"Gym, classrooms (3), main office, commons",3.60%,Net annual movement in and out of catchment (5-yr. avg.),64,Inaccessible,6,6,2,YES,YES,0,YES,YES,N/A,N/A,N/A,CommsLRSD,10/16/2025 17:22,"1961|21,125 ft²||1964|9,635 ft²||1967|28,335 ft²||1994|2,701 ft²",Basketball Court|Rubberized Track,French Immersion program at 296 Speers Rd. to move to 1015 Cottonwood Rd.,Building Move: French Immersion program at 296 Speers Rd. to move to 1015 Cottonwood Rd.,"New High School: Precinct K neighbourhood|Addition with washrooms, fitness room, band/music rooms, administration office, entrance modifications, community room, site development|Roof replacement (Partial)",None,Lighting retrofits|Universal washroom|Foods and nutrition lab renovation,"Gender-neutral washroom|DDC system|Air Make Up unit|Gym office spaces|Staff washroom renovation|Windows replacement|Blackboards removal|Flooring and ceiling|Office area redesign|Canteen shutter door lock relocation|Parking lot and staircase repair|Lockers|Lighting in science wing, library, and Grade 7/8 classrooms|Washrooms renovation",None,Removal of raised teachers desks|Refinish gym floor|Concrete stairs repair|Door & frame replacement|Lighting Upgrade in the north section and second floor
cjs,Collège Jeanne-Sauvé,Collège,public/cjs.jpg,1128 Dakota St.,(204) 257-0124,JEANNE-SAUVÉ FOS,High School,12-Sep,French Immersion,900,844,917,907,885,878,2021_22,684,2022_23,687,2023_24,750,2024_25,847,1989,35 years,91566 ft²,0,description,Natural Gas,"Main entry, office, fitness room, gym offices, classrooms (28)",0.20%,Net annual movement in and out of catchment (5-yr. avg.),129,YES,3,3,6,YES,YES,2,YES,YES,N/A,N/A,N/A,CommsLRSD,10/16/2025 17:22,"1999|replaced by 2023 addition||2017|3,929 ft² /cafeteria, foyer||2023|26,500 ft² / 16 classrooms, music room",Garden Area|Circle of Courage|Outdoor classroom,,,Roof replacement (Partial)|Additional Air Make Up unit to gym,None,"Replacement of Roof Top Unit|Addition with 16 classrooms, music room, and universal washroom|Rooftop solar panels|Fitness Room|Science Classrooms (5)","Hallways and door trims repainting|Gym Bleachers|School field redevelopment|Gymnasium floor refinishing|Girls' washroom renovation|Domestic piping replacement in crawlspace|Lighting upgrade in all classrooms, hallways, and gymnasium|Elevator or lift for mezzanine access",None,Exterior level landing for cafeteria doors|Library flooring replacement
dakota,Dakota Collegiate,School,public/dakota.jpg,661 Dakota St.,(204) 256-4366,DAKOTA FOS,High School,12-Sep,English Program,1025,1509,1620,1658,1684,1661,2021_22,1201,2022_23,1342,2023_24,1400,2024_25,1490,1962,62 years,127040 ft²,2,"Everywhere except gym, autoshop",Natural gas,Theatre,0.30%,Net annual movement in and out of catchment (5-yr. avg.),177,Required,4,4,2,YES,YES,1,YES,YES,N/A,N/A,N/A,CommsLRSD,10/16/2025 17:22,"1970|31,179 ft²||2016|2,200 ft² /fitness centre",Football Field|Bleachers & Press Box|Tennis Courts|Basketball Court|Cricket Cage|Patio|Film Tower|Indigenous garden and classroom,,,New High School: Precinct K|Universal washrooms to meet current accessibility standards*|Elevator upgrades to accommodate all accessibility needs**,None,Penthouse Air Handling Unit Upgraded,Washroom reconfigurations to gender-neutral|Atrium|Modular classroom|Accessible gymnasium door|Kitchen|Art room ceiling|Shower stalls removal from change rooms|Lighting upgrade in entire school|DDC system|Automotive shop upgrade|Locking hardware replacement|Electrical outlets|Door replacements|Indigenous student spaces|Individualized programming students spaces|Guitar room soundproofing,None,Flooring replacement|Asphalt repair|Reverse Door from Gymnasium to Fitness room
darwin,Darwin School,School,public/darwin.jpg,175 Darwin St.,(204) 257-2904,DAKOTA FOS,Elementary School,K-8,English Program,360,229,231,227,214,219,2021_22,230,2022_23,303,2023_24,292,2024_25,279,1973,51 years,54149 ft²,0,"Everywhere except gym, woodshop, graphic arts",Natural gas,None,-0.10%,Net annual movement in and out of catchment (5-yr. avg.),32,Required,4,4,2,YES,n/a,2,YES,Required,0,10,45,CommsLRSD,10/16/2025 17:22,,2 Basketball Courts|Volleyball Court|2 Four-Square Courts|2 Baseball Diamonds|Soccer Field|Free Play Area|Play structure|Outdoor learning area,,,New High School: Precinct K neighbourhood|Roof replacement (Partial),None,None,Dark room removal|Flooring replacement|Windows replacement|Foods and nutrition lab renovation|Universal washrooms to meet current accessibility standards*,None,Flooring removal & tile installation|Lighting upgrade in Office|Build demising wall between Room 8 and 9
drdwpenner,Dr. D.W. Penner School,School,public/penner.jpg,121 Hazelwood Cres.,(204) 256-1135,GLENLAWN FOS,Elementary School,K-7 (K-8 in 2025),English Program,290,255,261,258,252,247,2021_22,168,2022_23,198,2023_24,213,2024_25,227,1975,49 years,39542 ft²,0,Everywhere except gym,Electric,"Gym, Hygiene room",0.30%,Net annual movement in and out of catchment (5-yr. avg.),30,Required,2,2,1,YES,n/a,1,YES,Required,0,15,45,CommsLRSD,10/16/2025 17:22,"1976|12,261 ft²",Soccer field|Baseball diamond|Basketball court|City Property: Play structures|Zip line|General play areas,,,New High School: Precinct K neighbourhood|Roof repairs (partial),None,Universal washroom added,Bottle filling station|Lighting upgrade|Main office renovation|Staff room renovation|Boot racks removal|Lockers|Flooring replacement|Washrooms partitions replacement|LRTA office reconfiguration into classroom,None,"Paving of parking lot|Install Bottle Filling Station|Removed boot racks and installed lockers in the north east and north west entrances|Renovated Principal's and Vice Principal's Office, Create Copier Room"
ecolegeorgemcdowell,École George-McDowell,École,public/georgemcdowell.jpg,366 Paddington Rd.,(204) 253-1492,JEANNE-SAUVÉ FOS,Elementary School,8-Jun,French Immersion,375,364,339,368,356,351,2021_22,399,2022_23,374,2023_24,391,2024_25,345,1983,41 years,46289 ft²,0,Everywhere except gym,Natural gas,Multipurpose Room,1.20%,Net annual movement in and out of catchment (5-yr. avg.),30,Required,2,2,1,YES,n/a,1,YES,YES,0,0,0,CommsLRSD,10/16/2025 17:22,"1985|3,922 ft²||1986|8,826 ft²",Basketball court|Four-square court|Volleyball court|Cement pad w/ hopscotch/wall ball|City Property: 2 Tether ball poles|2 Baseball diamonds|Play structure,,,Roof replacement (Partial),None,None,Library flooring replacement|Asphalt existing gravel parking lot|Flooring replacement|Washroom countertops replacement|Library flooring replacement|Ceiling tiles replacement|Soundproofing in guitar room|Universal washrooms to meet current accessibility standards*,None,Classroom window replacements (Rms. 11-20)|Flooring removal & tile installation (Rm. 15)|Classrooms (2) and hallway flooring|Replaced flooring in Library
ecoleguyot,École Guyot,École,public/guyot.jpg,400 Willowlake Cres.,(204) 257-2540,BÉLIVEAU FOS,Elementary School,K-8,French Immersion,435,423,446,450,441,443,2021_22,410,2022_23,425,2023_24,434,2024_25,430,1974,50 years,43253 ft²,0,Everywhere except gym,"Natural gas, electric","Classrooms (2), Guitar",2.00%,Net annual movement in and out of catchment (5-yr. avg.),39,YES,3,3,2,Required,n/a,1,YES,YES,0,18,57,CommsLRSD,10/16/2025 17:22,"1986|4,195 ft²||2017|2,271 ft²",2 Play structures|Soccer nets|Basketball court|Rock climbing platform|Swing sets,,,Roof replacement (Partial),None,None,Staff room renovation|Gender-neutral washroom|Library flooring|Boys' washroom renovation|HVAC system,None,Flooring replacement|Acoustic material removal|Door & frame replacement|Intercom system relocation|Electrical outlet installation
ecolehenribergeron,École Henri-Bergeron,École,public/henribergeron.jpg,363 Enfield Cres.,(204) 233-7079,BÉLIVEAU FOS,Elementary School,French Immersion 5-8; Middle Immersion 4-6,French Immersion & Middle Immersion,350,310,292,290,337,385,2021_22,259,2022_23,212,2023_24,230,2024_25,222,1962,62 years,40350 ft²,0,Full building,Natural gas,Boys and girls washrooms,0.10%,Net annual movement in and out of catchment (5-yr. avg.),Not specified,Required,2,2,1,Required,Required,0,YES,Required,0,0,21,CommsLRSD,10/16/2025 17:22,,Basketball court|Tether ball pole|Play structure,,,New Elementary School: Waters Urban Village neighbourhood|Roof replacement (Full),None,None,HVAC system|Main office renovations|Staff room renovation|Student washrooms renovations|Phys-ed office shower|Lighting and ceiling tiles upgrade|Tectum installation in gymnasium|Flooring,None,Privacy curtains (shower & changerooms)|Window replacements|Flooring removal|Lockers|Entrance concrete landing replacement|Replaced Public Address System|Soundproofing of Music Room|Build storage cage for guitars|Installed 100 lockers
ecolehowden,École Howden,École,public/howden.jpg,150 Howden Rd.,(204) 257-0656,BÉLIVEAU FOS,Elementary School,K-8 (K-6 in 2025),French Immersion,405,307,317,314,308,298,2021_22,322,2022_23,368,2023_24,398,2024_25,421,1964,60 years,34087 ft²,2,"Main office, portables","Natural gas, electric","Gym, Classroom",0.00%,Net annual movement in and out of catchment (5-yr. avg.),33,YES,1,1,2,YES,n/a,0,YES,YES,0,12,23,CommsLRSD,10/16/2025 17:22,"1967|19,753 ft²",Basketball court|Basketball action play|Rain garden|Play structure|Climb & spin structure|Tether Poles|Swing sets|Climbing & hanging structures|City Property: Soccer fields|Play structures,,,"Modular Classrooms (2), no longer required|Permanent Classroom additions (4), no longer required|Roof replacement (Partial)",None,Lighting Retrofits,Student washrooms renovation|Flooring replacement|Window replacement|Doors and frames replacement|Bulkhead construction|Bottle filling station|HVAC system|Lighting upgrades,None,Floor tile replacement|Intercom system replacement|Storage cabinet installation|Whiteboard relocation|Shelving installation|Bottle filling station addition|Old water fountains removal|Student services office|Window replacemetn on the north side of the south hallway|Installed Portable Air Conditioning units
ecolejulieriel,École Julie-Riel,École,public/julieriel.jpeg,316 Ashworth St.,(204) 253-2363,JEANNE-SAUVÉ FOS,Elementary School,French Immersion K-5; Middle Immersion 4-6,French Immersion & Middle Immersion,355,349,349,329,316,304,2021_22,341,2022_23,353,2023_24,357,2024_25,364,1995,29 years,45249 ft²,0,Full building,Natural gas,"Gym, hallway",1.30%,Net annual movement in and out of catchment (5-yr. avg.),33,YES,2,2,0,Required,n/a,1,YES,YES,0,0,60,CommsLRSD,10/16/2025 17:22,,Swing set|Play structure|Climbing orb|Basketball nets|City Property: Soccer field,,,Roof replacement (Partial),None,None,Windows replacement|Staff room renovation|Cabinet door installations|Flooring replacement|Air Make Up unit|Boiler replacement|Washrooms renovation|Outdoor storage|Washer and dryer|Staff room renovation,None,Flooring replaced with tile| Replaced flooring in Room 11
ecolemarieannegaboury,École Marie-Anne-Gaboury,École,public/marieannegaboury.jpg,95 Pulberry St.,(204) 253-9704,JEANNE-SAUVÉ FOS,Elementary School,K-8,French Immersion,480,421,432,439,430,425,2021_22,393,2022_23,401,2023_24,416,2024_25,427,1957,67 years,53300 ft²,0,Full building,Natural gas,None,0.70%,Net annual movement in and out of catchment (5-yr. avg.),40,YES,5,4,1,YES,n/a,1,YES,Required,0,23,41,CommsLRSD,10/16/2025 17:22,"1969|36,100 ft²",2 Baseball diamonds|Running track|High jump pole|Soccer nets|4 Tether poles|TRC Garden,,,Entrance|Learning commons|Resource support suite|Guidance office|Conference room|Canteen|Second air handling unit|Relocation of school office and support space,Heating and Ventilation Upgrades,Replacement of Chiller,Ceiling tiles replacement|Asphalt play area resurfacing|Lane cutout for student drop-off and pick-up|Hand washing sink|HVAC system|Main entrance and school office renovation|Flooring replacement,None,Convert washroom to gender neutral|Accessible entrance general renovations|Cement step repair|Demising wall|Bulletin boards|Shelving|Sink|White board|Coat hooks|Replaced Flooring in Gymnasium and Library|Rebuild wall in Room #2
ecoleprovencher,École Provencher,École,public/provencher.jpg,320 ave de la Cathedrale,(204) 233-0222,BÉLIVEAU FOS,Elementary School,K-4,French Immersion,295,290,264,301,350,417,2021_22,256,2022_23,285,2023_24,293,2024_25,290,1924,100 years,71776 ft²,0,Full building,Natural gas,"Childcare areas, meeting room 1, custodial room, washrooms (5), classrooms (9), second floor hallway, family centre room",0.10%,Net annual movement in and out of catchment (5-yr. avg.),32,Required,2,2,3,YES,Required,0,Required,Required,0,29,88,CommsLRSD,10/16/2025 17:22,"1929|21,460 ft² (Rebuilt after 1923 fire)",Shade area|2 Play structures|Swing set|Zipline swing|Basketball action play|Basketball court,,,New Elementary School: Waters Urban Village neighbourhood|Building envelope|Windows|Ventilation|Elevator|Second air handling unit|Roof replacement (Partial),,,Windows replacement for entire school|Lighting upgrades|HVAC system|Student washrooms renovation|Acoustic material replacement|Door and frames replacement|Storage room door|Washroom walls refinishing|Doorway widening,,Window safety bars|Extend stairway walls for safety|New gender neutral washroom|Magnetic locks on second floor stairwell doors|Bike cage|Install Bottle Filling Station
ecolesagecreekbonavista,École Sage Creek Bonavista,École,public/sagecreekbonavista.png,355 Des Hivernants Blvd.,Board Office,BÉLIVEAU FOS,Elementary School,K-8,French Immersion Program,815,816,860,934,972,1024,2021_22,0,2022_23,0,2023_24,0,2024_25,0,2025,0 years,103548 ft²,0,Full building,Natural gas,"Hallways, band, office, library, Rooms 101-103, 142, 203, 204",N/A,Net annual movement in and out of catchment (5-yr. avg.),Not specified,YES,1,1,24,YES,YES,9,YES,YES,0,0,0,CommsLRSD,10/16/2025 17:22,,2 Play areas|Basketball court|City Property: Pump Track|Soccer field,,,,,,,,
ecolestgermain,École St. Germain,École,public/stgermain.jpg,77 John Forsyth Rd.,(204) 254-0120,JEANNE-SAUVÉ FOS,Elementary School,K-5,French Immersion,400,378,357,315,292,279,2021_22,469,2022_23,471,2023_24,427,2024_25,398,1987,37 years,43258 ft²,2,Full building,"Natural gas, electric, geothermal","Gym, mini-gym",1.10%,Net annual movement in and out of catchment (5-yr. avg.),Not specified,YES,2,2,0,1,n/a,0,YES,NO,0,32,33,CommsLRSD,10/16/2025 17:22,,"Basketball court|Basketball action play|Four-square court|Play structures|Balance steppers|Picnic area|City Property: Baseball diamonds, Soccer field, Swing sets, Sharing circle",,,New Elementary School: Precinct K neighbourhood|Failed boiler replacement|Make-up air replacement (2),,Boiler replacement|Direct Digital Control for HVAC system installation,Roof top unit replacement|Staff room renovation|Partitions replacement in change room,,Rear sidewalk repairs|Sound proofing|Ceiling tile replacement (6 classrooms)|Cubbies for students|White board relocation|Concrete play area repair|Install Bottle Filling Station
