school_id,girls_washrooms,boys_washrooms,gender_neutral_washrooms,universal_washroom,elevator,accessible_parking_stalls,accessible_entrance,automatic_entrance_door_operators,childcare_infant,childcare_preschool,childcare_school_age
archwood,3,3,1,YES,n/a,1,YES,YES,0,0,24
beliveau,6,6,2,YES,YES,0,YES,YES,N/A,N/A,N/A
cjs,3,3,6,YES,YES,2,YES,YES,N/A,N/A,N/A
dakota,4,4,2,YES,YES,1,YES,YES,N/A,N/A,N/A
darwin,4,4,2,YES,n/a,2,YES,Required,0,10,45
drdwpenner,2,2,1,YES,n/a,1,YES,Required,0,15,45
ecolegeorgemcdowell,2,2,1,YES,n/a,1,YES,YES,0,0,0
ecoleguyot,3,3,2,Required,n/a,1,YES,YES,0,18,57
ecolehenribergeron,2,2,1,Required,Required,0,YES,Required,0,0,21
ecolehowden,1,1,2,YES,n/a,0,YES,YES,0,12,23
ecolejulieriel,2,2,0,Required,n/a,1,YES,YES,0,0,60
ecolemarieannegaboury,3,3,1,1 (8 stalls) + 2 single-user,n/a,1,YES,Required,0,23,41
ecoleprovencher,2,2,3,YES,Required,0,Required,Required,0,29,88
ecolemazinagiizhik,1,1,24,YES,YES,9,YES,YES,0,0,0
ecolestgermain,2,2,2,1,n/a,1,YES,NO,0,32,51
ecolevanbelleghem,1,1,2,Required,n/a,1,YES,YES,0,19,28
ecolevarennes,2,2,1,Required,Required,2,YES,Required,0,0,37
frontenac,4,4,4,YES,YES,1,YES,YES,0,30,30
generalvanier,4,4,4,YES,YES,0,YES,YES,0,30,35
glenlawn,5,5,9,1,Full,5,YES,YES,0,0,0
glenwood,2,2,5,Required,Required,0,YES,Required,0,15,50
hastings,1,1,2,YES,YES,1,YES,YES,0,18,32
highbury,4,4,2,YES,n/a,1,YES,YES,16,56,62
hspaul,2,2,1,YES,n/a,1,YES,YES,8,40,72
islandlakes,4,4,5,YES,n/a,1,YES,YES,4,62,65
jhbruns,3,3,1,YES,YES,0,YES,YES,0,0,0
lavallee,4,4,2,YES,n/a,1,YES,YES,0,18,22
louisrielartstech,2,2,1,Required,Required,2,YES,YES,0,0,0
marion,2,2,2,YES,YES,4,YES,YES,4,16,0
minnetonka,3,3,1,YES,n/a,0,YES,Required,12,76,19
nelsonmcintyre,3,3,2,YES,YES,1,YES,YES,0,0,0
niakwaplace,4,4,0,YES,n/a,1,YES,YES,0,20,30
nordale,3,3,0,YES,n/a,0,Required,Required,0,18,30
sagecreek,1,1,20,YES,YES,1,YES,YES,20,64,132
samuelburland,3,3,1,YES,n/a,2,Required,YES,0,42,63
shamrock,8,8,5,YES,n/a,2,YES,YES,0,30,100
stgeorge,3,3,4,Required,n/a,0,YES,Required,0,0,30
victorhlwyatt,5,5,4,YES,YES,2,YES,YES,0,5,57
victormager,3,3,2,YES,n/a,1,Required,Required,0,8,29
windsor,5,5,2,Required,n/a,1,YES,YES,0,0,15
windsorpark,6,6,2,YES,YES,1,YES,YES,0,0,0
