school_id,year,size
archwood,1954,"5,104 ft²"
archwood,1967,"2,829 ft²"
archwood,1971,"5,898 ft²"
archwood,1975,352 ft²
beliveau,1961,"21,125 ft²"
beliveau,1964,"9,635 ft²"
beliveau,1967,"28,335 ft²"
beliveau,1994,"2,701 ft²"
cjs,1999,replaced by 2023 addition
cjs,2017,"3,929 ft² /cafeteria, foyer"
cjs,2023,"26,500 ft² / 16 classrooms, music room"
dakota,1970,"31,179 ft²"
dakota,2016,"2,200 ft² /fitness centre"
drdwpenner,1976,"12,261 ft²"
ecolegeorgemcdowell,1985,"3,922 ft²"
ecolegeorgemcdowell,1986,"8,826 ft²"
ecoleguyot,1986,"4,195 ft²"
ecoleguyot,2017,"2,271 ft²"
ecolehowden,1967,"19,753 ft²"
ecolemarieannegaboury,1969,"36,100 ft²"
ecoleprovencher,1929,"21,460 ft² (Rebuilt after 1923 fire)"
ecolevanbelleghem,1968,"15,486 ft²"
ecolevarennes,1953,"8,103 ft²"
ecolevarennes,1959,"18,954 ft²"
ecolevarennes,1976,"1,525 ft² (Flood relief building, intended to last 20 years)"
frontenac,1959,"16,000 ft²"
frontenac,1964,"5,000 ft²"
frontenac,1970,"13,865 ft²"
frontenac,1986,"1,050 ft²"
frontenac,1987,"1,050 ft²"
generalvanier,1963,"26,000 ft²"
generalvanier,1969,"8,644 ft²"
glenlawn,,1965
glenlawn,,1972
glenlawn,,1975
glenlawn,,1997
glenwood,1954,"5,936 ft²"
glenwood,1955,"9,215 ft²"
glenwood,1974,"12,077 ft²"
highbury,1992,"13,185 ft²"
highbury,1997,"4,844 ft²"
highbury,2001,"4,456 ft²"
highbury,2005,"1,000 ft²"
highbury,2014,"4,843 ft²"
hspaul,1991,"1,502 ft² (2 modular classrooms uninhabitable)"
islandlakes,2009,"5,785 ft² (2 modular classrooms added Oct. 2024)"
jhbruns,1976,"5,785 ft²"
louisrielartstech,1978,"19,517 ft²"
marion,1953,"12,558 ft²"
marion,1963,"6,494 ft²"
nelsonmcintyre,1960,"4,026 ft²"
nelsonmcintyre,1968,"21,484 ft²"
nelsonmcintyre,1973,"2,050 ft²"
nelsonmcintyre,1975,Rebuild
nelsonmcintyre,1986,Rebuild
nordale,1952,"4,800 ft²"
nordale,1962,"2,100 ft²"
nordale,1968,"4,758 ft²"
nordale,1971,"2,346 ft²"
nordale,2011,"1,475 ft²"
shamrock,1978,"39,444 ft² (Enrolment changes due to new school construction)"
victormager,1970,"19,475 ft²"
windsor,1957,
windsor,1961,
windsor,1964,
windsorpark,1965,"10,162 ft²"
windsorpark,1969,"20,922 ft²"
