school_id,built,size,modular,air_conditioning,heating,led_lighting,catchment_migration,catchment_description,parking_spots,bus_loop
archwood,1952,28513 ft²,0,"Main office, gym",Natural gas,Gym,-0.80%,Net annual movement in and out of catchment (5-yr. avg.),Not specified,NO
beliveau,1956,86387 ft²,0,Full building,Natural gas,"Gym, classrooms (3), main office, commons",3.60%,Net annual movement in and out of catchment (5-yr. avg.),64,Inaccessible
cjs,1989,91566 ft²,0,Full building,Natural Gas,"Main entry, office, fitness room, gym offices, classrooms (28)",0.20%,Net annual movement in and out of catchment (5-yr. avg.),129,YES
dakota,1962,127040 ft²,2,"Everywhere except gym, autoshop",Natural gas,Theatre,0.30%,Net annual movement in and out of catchment (5-yr. avg.),177,Required
darwin,1973,54149 ft²,0,"Everywhere except gym, woodshop, graphic arts",Natural gas,None,-0.10%,Net annual movement in and out of catchment (5-yr. avg.),32,Required
drdwpenner,1975,39542 ft²,0,Everywhere except gym,Electric,"Gym, Hygiene room",0.30%,Net annual movement in and out of catchment (5-yr. avg.),30,Required
ecolegeorgemcdowell,1983,46289 ft²,0,Everywhere except gym,Natural gas,Multipurpose Room,1.20%,Net annual movement in and out of catchment (5-yr. avg.),30,Required
ecoleguyot,1974,43253 ft²,0,Everywhere except gym,"Natural gas, electric","Classrooms (2), Guitar",2.00%,Net annual movement in and out of catchment (5-yr. avg.),39,YES
ecolehenribergeron,1962,40350 ft²,0,Full building,Natural gas,Boys and girls washrooms,0.10%,Net annual movement in and out of catchment (5-yr. avg.),Not specified,Required
ecolehowden,1964,34087 ft²,2,"Main office, portables","Natural gas, electric","Gym, Classroom",0.00%,Net annual movement in and out of catchment (5-yr. avg.),33,YES
ecolejulieriel,1995,45249 ft²,0,Full building,Natural gas,"Gym, hallway",1.30%,Net annual movement in and out of catchment (5-yr. avg.),33,YES
ecolemarieannegaboury,1957,53300 ft²,0,Full building,Natural gas,None,0.70%,Net annual movement in and out of catchment (5-yr. avg.),40,YES
