school_id,capacity,current,projection_2026_27,projection_2027_28,projection_2028_29,projection_2029_30,history_label_1,history_value_1,history_label_2,history_value_2,history_label_3,history_value_3,history_label_4,history_value_4
archwood,210,162,156,144,142,136,2021_22,199,2022_23,229,2023_24,195,2024_25,184
beliveau,650,672,699,763,828,898,2021_22,649,2022_23,651,2023_24,649,2024_25,680
cjs,900,844,935,910,893,906,2021_22,684,2022_23,687,2023_24,750,2024_25,847
dakota,1025,1509,1532,1575,1599,1579,2021_22,1201,2022_23,1342,2023_24,1400,2024_25,1490
darwin,360,229,203,207,196,200,2021_22,230,2022_23,303,2023_24,292,2024_25,279
drdwpenner,290,255,263,263,252,248,2021_22,168,2022_23,198,2023_24,213,2024_25,227
ecolegeorgemcdowell,375,364,341,376,376,369,2021_22,399,2022_23,374,2023_24,391,2024_25,345
ecoleguyot,435,423,428,411,393,389,2021_22,410,2022_23,425,2023_24,434,2024_25,430
ecolehenribergeron,350,310,329,311,331,336,2021_22,259,2022_23,212,2023_24,230,2024_25,222
ecolehowden,405,307,307,294,284,274,2021_22,322,2022_23,368,2023_24,398,2024_25,421
ecolejulieriel,355,349,340,305,287,270,2021_22,341,2022_23,353,2023_24,357,2024_25,364
ecolemarieannegaboury,480,421,419,428,420,414,2021_22,393,2022_23,401,2023_24,416,2024_25,427
ecoleprovencher,295,290,270,267,252,239,2021_22,256,2022_23,285,2023_24,293,2024_25,290
ecolemazinagiizhik,815,816,912,980,1044,1107,2021_22,0,2022_23,0,2023_24,0,2024_25,0
ecolestgermain,400,378,368,322,288,268,2021_22,469,2022_23,471,2023_24,427,2024_25,398
ecolevanbelleghem,320,318,337,350,348,348,2021_22,416,2022_23,432,2023_24,447,2024_25,450
ecolevarennes,425,353,356,375,370,359,2021_22,370,2022_23,358,2023_24,382,2024_25,421
frontenac,475,398,403,419,402,377,2021_22,454,2022_23,426,2023_24,406,2024_25,407
generalvanier,280,218,219,219,211,200,2021_22,247,2022_23,251,2023_24,261,2024_25,237
glenlawn,1000,1000,1056,1020,1030,1045,2021_22,886,2022_23,911,2023_24,1059,2024_25,1105
glenwood,325,281,276,291,295,290,2021_22,198,2022_23,216,2023_24,235,2024_25,266
hastings,280,207,212,210,203,196,2021_22,198,2022_23,216,2023_24,235,2024_25,234
highbury,445,411,384,379,362,350,2021_22,409,2022_23,407,2023_24,438,2024_25,450
hspaul,425,364,353,336,325,323,2021_22,394,2022_23,413,2023_24,398,2024_25,383
islandlakes,790,710,714,769,781,805,2021_22,497,2022_23,585,2023_24,687,2024_25,750
jhbruns,700,978,1042,1121,1172,1160,2021_22,762,2022_23,779,2023_24,780,2024_25,856
lavallee,210,176,171,184,180,187,2021_22,149,2022_23,169,2023_24,168,2024_25,161
louisrielartstech,331,178,165,163,164,166,2021_22,118,2022_23,147,2023_24,148,2024_25,141
marion,300,253,254,267,267,266,2021_22,139,2022_23,144,2023_24,218,2024_25,259
minnetonka,230,172,171,165,167,163,2021_22,177,2022_23,138,2023_24,171,2024_25,171
nelsonmcintyre,650,401,410,404,425,414,2021_22,316,2022_23,313,2023_24,358,2024_25,387
niakwaplace,260,213,215,213,196,196,2021_22,232,2022_23,250,2023_24,268,2024_25,248
nordale,230,174,185,194,186,190,2021_22,132,2022_23,172,2023_24,170,2024_25,180
sagecreek,660,645,640,642,627,620,2021_22,694,2022_23,747,2023_24,787,2024_25,772
samuelburland,445,402,379,378,369,359,2021_22,454,2022_23,444,2023_24,448,2024_25,421
shamrock,525,344,323,319,316,289,2021_22,563,2022_23,588,2023_24,610,2024_25,634
stgeorge,385,349,354,377,369,371,2021_22,327,2022_23,377,2023_24,439,2024_25,344
victorhlwyatt,375,281,287,280,271,276,2021_22,260,2022_23,284,2023_24,310,2024_25,312
victormager,420,377,379,371,349,327,2021_22,337,2022_23,375,2023_24,404,2024_25,401
windsor,260,234,234,244,248,255,2021_22,134,2022_23,138,2023_24,140,2024_25,234
windsorpark,700,599,556,449,445,452,2021_22,670,2022_23,702,2023_24,726,2024_25,703
