school_id,feature
archwood,Basketball Court
archwood,Basketball Action Play
archwood,Steel Play structure
archwood,Wooden Play structure
archwood,Climbing dome
archwood,Shade structure
archwood,Soccer nets
archwood,Baseball Diamond
beliveau,Basketball Court
beliveau,Rubberized Track
cjs,Garden Area
cjs,Circle of Courage
cjs,Outdoor classroom
dakota,Football Field
dakota,Bleachers & Press Box
dakota,Tennis Courts
dakota,Basketball Court
dakota,Cricket Cage
dakota,Patio
dakota,Film Tower
dakota,Indigenous garden and classroom
darwin,2 Basketball Courts
darwin,Volleyball Court
darwin,2 Four-Square Courts
darwin,2 Baseball Diamonds
darwin,Soccer Field
darwin,Free Play Area
darwin,Play structure
darwin,Outdoor learning area
drdwpenner,Soccer field
drdwpenner,Baseball diamond
drdwpenner,Basketball court
drdwpenner,City Property: Play structures
drdwpenner,Zip line
drdwpenner,General play areas
ecolegeorgemcdowell,Basketball court
ecolegeorgemcdowell,Four-square court
ecolegeorgemcdowell,Cement pad w/ hopscotch/wall ball
ecolegeorgemcdowell,City Property: 2 Tether ball poles
ecolegeorgemcdowell,2 Baseball diamonds
ecolegeorgemcdowell,Play structure
ecoleguyot,2 Play structures
ecoleguyot,Soccer nets
ecoleguyot,Basketball court
ecoleguyot,Rock climbing platform
ecoleguyot,Swing sets
ecolehenribergeron,Basketball court
ecolehenribergeron,Tether ball pole
ecolehenribergeron,Play structure
ecolehowden,Basketball court
ecolehowden,Basketball action play
ecolehowden,Rain garden
ecolehowden,Play structure
ecolehowden,Climb & spin structure
ecolehowden,Swing sets
ecolehowden,Climbing & hanging structures
ecolehowden,"City Property: Soccer fields, Swing sets"
ecolehowden,Play structures
ecolejulieriel,Swing set
ecolejulieriel,Play structure
ecolejulieriel,Climbing orb
ecolejulieriel,Basketball nets
ecolejulieriel,City Property: Soccer field
ecolemarieannegaboury,2 Baseball diamonds
ecolemarieannegaboury,Running track
ecolemarieannegaboury,High jump pole
ecolemarieannegaboury,Soccer nets
ecolemarieannegaboury,4 Tether poles
ecolemarieannegaboury,TRC Garden
ecolemazinagiizhik,2 Play areas
ecolemazinagiizhik,Basketball court
ecolemazinagiizhik,City Property: Pump Track
ecolemazinagiizhik,Soccer field
ecoleprovencher,Shade area
ecoleprovencher,2 Play structures
ecoleprovencher,Swing set
ecoleprovencher,Zipline swing
ecoleprovencher,Basketball action play
ecoleprovencher,Basketball court
ecolestgermain,Basketball court
ecolestgermain,Basketball action play
ecolestgermain,Four-square court
ecolestgermain,Play structures
ecolestgermain,Balance steppers
ecolestgermain,Picnic area
ecolestgermain,"City Property: Baseball diamonds, Soccer field, Swing sets, Sharing circle"
ecolevanbelleghem,Basketball action play system
ecolevanbelleghem,Basketball Court
ecolevanbelleghem,Nature playground
ecolevanbelleghem,Tree climbing system
ecolevanbelleghem,Zipline
ecolevanbelleghem,Honeycomb structure
ecolevanbelleghem,Play structures
ecolevanbelleghem,Swings
ecolevanbelleghem,Bike cage
ecolevanbelleghem,"City Property: Baseball field, Soccer nets"
ecolevarennes,Sandbox
ecolevarennes,Tire Swings
ecolevarennes,Soccer nets
ecolevarennes,Baseball diamond
ecolevarennes,Slide
ecolevarennes,Play structure
ecolevarennes,Basketball
ecolevarennes,Basketball action play
ecolevarennes,Sharing circle
frontenac,Play structures
frontenac,Soccer area
frontenac,Basketball court
frontenac,Gaga Ball pit
frontenac,Tetherball
generalvanier,Gaga Ball pit
generalvanier,Swing sets
generalvanier,Play structures
generalvanier,Basketball court
generalvanier,Climbing bars
generalvanier,Glider and Merry-go-round
generalvanier,"City Property: Swing set, Wading pool, Soccer fields"
glenlawn,"City Property: Long jump track with sandpit, Volleyball court, Soccer fields, Basketball court, Shade structure"
glenwood,Play structures
glenwood,Basketball action play
glenwood,Basketball court
glenwood,City Property: Baseball diamonds
hastings,Play structures
hastings,Swing sets
hastings,Basketball court
hastings,Basketball action play system
hastings,Baseball diamond
hastings,Soccer nets
highbury,Basketball court
highbury,Play structure
highbury,Soccer field
highbury,Gravel track
highbury,Baseball diamond
highbury,Indigenous garden
highbury,Tether ball
hspaul,"City Property: Play structures, Soccer field, Basketball court, Baseball diamond"
islandlakes,Play structures
islandlakes,Swing set
islandlakes,Soccer nets
islandlakes,Basketball action play
islandlakes,"City Property: Basketball court, Baseball diamond, Tennis court"
jhbruns,"City Property: Play structure, Wading pool, Baseball diamonds, Southdale C."
lavallee,Daycare play structure
lavallee,Basketball court
lavallee,Play structure
lavallee,Tether ball area
lavallee,City Property: Soccer field
louisrielartstech,Cement patio
louisrielartstech,Tennis courts
marion,Swing set
marion,Baseball diamond
marion,Play courts
marion,Basketball court
marion,Basketball nets
marion,Play structures
minnetonka,Basketball court
minnetonka,Play structure
minnetonka,Swing sets
minnetonka,Soccer nets
minnetonka,Basketball action play
nelsonmcintyre,Basketball court
nelsonmcintyre,Track & football
niakwaplace,Basketball courts
