school_id,scope,status,description
archwood,provincial,requested,Universal washroom to meet current accessibility standards*
archwood,provincial,requested,Remaining Burnham boiler replacement
archwood,provincial,requested,Roof replacement (Partial)
archwood,local,requested,Main office renovation
archwood,local,requested,Air conditioning installation
archwood,local,requested,DDC system
archwood,local,requested,Office renovation completion
archwood,local,requested,Flooring and hallway wall refinishing
archwood,local,requested,Classrooms renovation
archwood,local,requested,Library flooring
archwood,local,requested,Music room renovation
archwood,local,requested,Room 10 renovation
archwood,local,requested,Kitchen redesign
archwood,local,requested,Renovate Staff Room
archwood,local,requested,Student and Staff Washroom Renovation
archwood,local,requested,Repaint and new lighting in Front Foyer
archwood,local,requested,Replace Rear Door and Frame
archwood,local,completed,Community kitchen electrical upgrades
archwood,local,completed,Kitchen island addition
archwood,local,completed,Cupboards
archwood,local,completed,Gym girls change room modification
archwood,local,completed,Bottle filling station addition
archwood,local,completed,Boys change room renewal
archwood,local,completed,Replace Public Address System
archwood,local,completed,Repair of cracks in Terrazo floor
archwood,local,completed,Installed Portable Air Conditioning units
archwood,local,completed,Fence installation
archwood,local,completed,Design Concept of all washrooms
beliveau,provincial,requested,New High School: Precinct K neighbourhood
beliveau,provincial,requested,"Addition with washrooms, fitness room, band/music rooms, administration office, entrance modifications, community room, site development"
beliveau,provincial,requested,Roof replacement (Partial)
beliveau,provincial,completed,Lighting retrofits
beliveau,provincial,completed,Universal washroom
beliveau,provincial,completed,Foods and nutrition lab renovation
beliveau,local,requested,Gender-neutral washroom
beliveau,local,requested,DDC system
beliveau,local,requested,Air Make Up unit
beliveau,local,requested,Gym office spaces
beliveau,local,requested,Staff washroom renovation
beliveau,local,requested,Windows replacement
beliveau,local,requested,Blackboards removal
beliveau,local,requested,Flooring and ceiling
beliveau,local,requested,Office area redesign
beliveau,local,requested,Canteen shutter door lock relocation
beliveau,local,requested,Parking lot and staircase repair
beliveau,local,requested,Lockers
beliveau,local,requested,Washrooms renovation
beliveau,local,requested,Long Jump Pit and Track Extension
beliveau,local,inProgress,"Lighting in science wing, library, and Grade 7/8 classrooms"
beliveau,local,completed,Removal of raised teachers desks
beliveau,local,completed,Refinish gym floor
beliveau,local,completed,Concrete stairs repair
beliveau,local,completed,Door & frame replacement
beliveau,local,completed,Lighting Upgrade in the north section and second floor
cjs,provincial,requested,Roof replacement (Partial)
cjs,provincial,requested,Additional Air Make Up unit to gym
cjs,provincial,completed,Replacement of Roof Top Unit
cjs,provincial,completed,"Addition with 16 classrooms, music room, and universal washroom"
cjs,provincial,completed,Rooftop solar panels
cjs,provincial,completed,Fitness Room
cjs,provincial,completed,Science Classrooms (5)
cjs,local,requested,Renovate Room 104 to create Home Ecology Classroom
cjs,local,requested,Replace Gym Floor
cjs,local,requested,Replace Gym Bleachers
cjs,local,requested,Repaint Gym
cjs,local,requested,School field redevelopment
cjs,local,requested,Girls' washroom renovation
cjs,local,requested,Domestic piping replacement in crawlspace
cjs,local,requested,"Lighting upgrade in all classrooms, hallways, and gymnasium"
cjs,local,requested,Elevator or lift for mezzanine access and replace railing
cjs,local,requested,Accessible door operators for washrooms and southeast parking lot door
cjs,local,requested,Bike Cage
cjs,local,requested,Renovate Boy's Change Room
cjs,local,completed,Exterior level landing for cafeteria doors
cjs,local,completed,Library flooring replacement
cjs,local,completed,Hallways and door trims repainting
cjs,local,completed,Design Concept plan for School Field Redevelopment
cjs,local,completed,Gymnasium floor refinishing
dakota,provincial,requested,New High School: Precinct K
dakota,provincial,requested,Universal washrooms to meet current accessibility standards*
dakota,provincial,requested,Elevator upgrades to accommodate all accessibility needs**
dakota,provincial,requested,Two modular classrooms
dakota,provincial,completed,Penthouse Air Handling Unit Upgraded
dakota,local,requested,Washroom reconfigurations to gender-neutral
dakota,local,requested,Atrium
dakota,local,requested,Accessible gymnasium door
dakota,local,requested,Kitchen
dakota,local,requested,Art room ceiling
dakota,local,requested,Shower stalls removal from change rooms
dakota,local,requested,Lighting upgrade in entire school
dakota,local,requested,DDC system
dakota,local,requested,Automotive shop upgrade
dakota,local,requested,Locking hardware replacement
dakota,local,requested,Electrical outlets in Electronics
dakota,local,requested,Door replacements
dakota,local,requested,Indigenous student spaces
dakota,local,requested,Individualized programming students spaces
dakota,local,requested,Guitar room soundproofing
dakota,local,completed,Flooring replacement
dakota,local,completed,Asphalt repair
dakota,local,completed,Reverse Door from Gymnasium to Fitness room
darwin,provincial,requested,New High School: Precinct K neighbourhood
darwin,provincial,requested,Roof replacement (Partial)
darwin,local,requested,Dark room removal
darwin,local,requested,Flooring replacement
darwin,local,requested,Windows replacement
darwin,local,requested,Foods and nutrition lab renovation
darwin,local,requested,Universal washrooms to meet current accessibility standards*
darwin,local,requested,Additional Parking spots
darwin,local,completed,Flooring removal & tile installation
darwin,local,completed,Lighting upgrade in Office
darwin,local,completed,Build demising wall between Room 8 and 9
drdwpenner,provincial,requested,New High School: Precinct K neighbourhood
drdwpenner,provincial,requested,Roof repairs (partial)
drdwpenner,provincial,completed,Universal washroom added
drdwpenner,local,requested,Lighting upgrade
drdwpenner,local,requested,Upgrade staff work stations
drdwpenner,local,requested,Staff room renovation
drdwpenner,local,requested,Flooring replacement
drdwpenner,local,requested,Washrooms partitions replacement
drdwpenner,local,completed,Paving of parking lot
drdwpenner,local,completed,Install Bottle Filling Station
drdwpenner,local,completed,Removed boot racks and installed lockers in the north east and north west entrances
drdwpenner,local,completed,"Renovated Principal's and Vice Principal's Office, Create Copier Room"
drdwpenner,local,completed,LRTA office reconfiguration into classroom
ecolegeorgemcdowell,provincial,requested,Roof replacement (Partial)
ecolegeorgemcdowell,provincial,requested,Boiler Replacement
ecolegeorgemcdowell,local,requested,Library flooring replacement
ecolegeorgemcdowell,local,requested,Pave existing gravel parking lot
ecolegeorgemcdowell,local,requested,Flooring replacement
ecolegeorgemcdowell,local,requested,Washroom countertops replacement
ecolegeorgemcdowell,local,requested,Ceiling tiles replacement
ecolegeorgemcdowell,local,requested,Soundproofing in guitar room
ecolegeorgemcdowell,local,requested,Universal washrooms to meet current accessibility standards*
ecolegeorgemcdowell,local,requested,Replace hallway lighting
ecolegeorgemcdowell,local,requested,Pave the hardsurface play area
ecolegeorgemcdowell,local,requested,Renovate Staff Washrooms
ecolegeorgemcdowell,local,completed,Classroom window replacements (Rms. 11-20)
ecolegeorgemcdowell,local,completed,Flooring removal & tile installation (Rm. 15)
ecolegeorgemcdowell,local,completed,Classrooms (2) and hallway flooring
ecolegeorgemcdowell,local,completed,Replaced flooring in Library
ecoleguyot,provincial,requested,Roof replacement (Partial)
ecoleguyot,local,requested,Staff room renovation
ecoleguyot,local,requested,Gender-neutral washroom
ecoleguyot,local,requested,Library flooring
ecoleguyot,local,requested,Boys' washroom renovation
ecoleguyot,local,requested,DDC system
ecoleguyot,local,requested,Universal washroom renovations planned for south side of school (summer 2026)
ecoleguyot,local,completed,Replaced PA System
ecoleguyot,local,completed,Flooring replacement
ecoleguyot,local,completed,Acoustic material removal
ecoleguyot,local,completed,Door & frame replacement
