school_id,requested,inProgress,completed
archwood,Universal washroom to meet current accessibility standards* | Remaining Burnham boiler replacement | Roof replacement (Partial),,
beliveau,"New High School: Precinct K neighbourhood | Addition with washrooms, fitness room, band/music rooms, administration office, entrance modifications, community room, site development | Roof replacement (Partial)",,Lighting retrofits | Universal washroom | Foods and nutrition lab renovation
cjs,Roof replacement (Partial) | Additional Air Make Up unit to gym,,"Replacement of Roof Top Unit | Addition with 16 classrooms, music room, and universal washroom | Rooftop solar panels | Fitness Room | Science Classrooms (5)"
dakota,New High School: Precinct K | Universal washrooms to meet current accessibility standards* | Elevator upgrades to accommodate all accessibility needs** | Two modular classrooms,,Penthouse Air Handling Unit Upgraded
darwin,New High School: Precinct K neighbourhood | Roof replacement (Partial),,
drdwpenner,New High School: Precinct K neighbourhood | Roof repairs (partial),,Universal washroom added
ecolegeorgemcdowell,Roof replacement (Partial) | Boiler Replacement,,
ecoleguyot,Roof replacement (Partial),,
ecolehenribergeron,New Elementary School: Waters Urban Village neighbourhood | Roof replacement (Full),,
ecolehowden,Roof replacement (Partial),,Lighting Retrofits
ecolejulieriel,Roof replacement (Partial),,
ecolemarieannegaboury,Entrance | Learning commons | Resource support suite | Guidance office | Conference room | Canteen | Relocation of school office and support space,Heating and Ventilation Upgrades,Replacement of Chiller
ecoleprovencher,New Elementary School: Waters Urban Village neighbourhood | Building envelope | Windows | Ventilation | Elevator | Second air handling unit | Roof replacement (Partial),,
ecolestgermain,New Elementary School: Precinct K neighbourhood | Make-up air replacement (2),,Boiler replacement | Direct Digital Control for HVAC system installation
ecolevanbelleghem,New Elementary School: Precinct K neighbourhood | Universal washrooms | Roof replacement (Partial),Relocation of Modular Classrooms to Island Lakes Community School,
ecolevarennes,"Building Replacement [≈55,000 ft2] | Additional Air Make Up unit to gym | Roof replacement (Full)",,
frontenac,Roof replacement (Partial),,Universal washroom
generalvanier,Roof repairs,,Universal washroom
glenlawn,"New High School: Precinct K neighbourhood | Graphics lab (ventilation, ceiling, lights, dark room, storage) | Roof replacement (Partial)",,Rooftop unit replacement
glenwood,New High School: Precinct K neighbourhood,Elevator | Universal washroom | Roof replacement (Partial),
hastings,New High School: Precinct K neighbourhood | Boiler replacement | Roof replacement (Partial),,Rooftop unit and Make-up Air replacement
highbury,New High School: Precinct K neighbourhood | Boiler replacement,,Elevator | Universal washroom
hspaul,New High School: Precinct K neighbourhood | New Elementary School: Precinct K neighbourhood | Universal washroom | Roof replacement (Partial),,Make Up Air replacement (2) | Compressor replacement
islandlakes,New Elementary School: Precinct J neighbourhood | New Elementary School: Precinct K neighbourhood | New High School: Precinct K neighbourhood | Additional Air Make Up unit for gym | Roof replacement (Partial),,Installation of Modular Classrooms (2) | Relocation of Modular Classrooms (2) from St. Germain | Relocation of Modular Classrooms to ILCS from École Van Belleghem
jhbruns,New Elementary School: Precinct J neighbourhood | New Elementary School: Precinct K neighbourhood | New High School: Precinct K neighbourhood | Roof replacement (Partial),"Addition [≈26,000 ft2] with classrooms (9), Library, Fitness room, Cafeteria, Entrance (2) | Optimize staff parking | Outdoor recreation spaces | Hardcourt sports plaza | Science classroom",Universal washroom | Roof replacement (Partial) | Foundation upgrade | Roof reinforcement upgrade
lavallee,New High School: Precinct K neighbourhood | Roof replacement (Partial),,Make Up Air & compressor replacements (2)
louisrielartstech,Culinary arts space renovations | Esthetic facility renovations,,Roof replacement (Partial)
marion,New Elementary School: Waters Urban Village neighbourhood,Major addition | Major renovations,Building envelope | Elevator | Universal toilet room
minnetonka,New High School: Precinct K neighbourhood | Boiler replacement | Roof replacement (Partial),,
nelsonmcintyre,Roof replacement (Partial),,Universal washroom | Rooftop unit replacement (5) | Science classroom
niakwaplace,New Elementary School: Precinct J neighbourhood | New Elementary School: Precinct K neighbourhood | New High School: Precinct K neighbourhood | Roof replacement (Partial) | Universal washroom,,Lighting retrofits
nordale,Additional Make-up Air unit for library | Roof replacement (Partial),,
sagecreek,Number one priority: Addition and renovations to J.H. Bruns Collegiate to allow for transition from grade 8 to grade 9 | New Elementary School: Precinct J neighbourhood | New Elementary School: Precinct K neighbourhood | New High School: Precinct K neighbourhood,,
samuelburland,New Elementary School: Precinct K neighbourhood | New High School: Precinct K neighbourhood | Universal washroom | Air MUA replacement (2),,
shamrock,New Elementary School: Precinct J neighbourhood | New Elementary School: Precinct K neighbourhood | New High School: Precinct K neighbourhood | Air MUA replacement (2) | Universal washroom,Building envelope replacement and new windows,Roof replacement (Partial)
stgeorge,New High School: Precinct K neighbourhood | Elevator | Universal washroom,,Roof replacement (Partial)
victorhlwyatt,New High School: Precinct K neighbourhood | Roof replacement (Partial),,
victormager,New High School: Precinct K neighbourhood | Universal washroom | Roof replacement (Partial),,
windsor,New High School: Precinct K neighbourhood | New building envelope | New windows | Structural reinforcement | Roof replacement (Partial),,Boiler replacement | Direct Digital Control for HVAC system installation
windsorpark,Washrooms (for 1015 Cottonwood Rd.) | Fitness room (for 1015 Cottonwood Rd.) | Band/guitar rooms (for 1015 Cottonwood Rd.) | Classrooms (4) (for 1015 Cottonwood Rd.) | Entrance (for 1015 Cottonwood Rd.) | Office (for 1015 Cottonwood Rd.) | Cafeteria (for 1015 Cottonwood Rd.) | Roof replacement (Partial) (for 1015 Cottonwood Rd.) | Additional Air Make Up unit to gym (for 1015 Cottonwood Rd.),,
